NAME,RENAME
TA,TA
FLOW_DIR,Direction of population change
FLOW_TYPE,Type of population change
PREV_YEAR,Previous year
CURR_YEAR,Current year
TOTAL_PREV,Previous population
TOTAL_CURR,Current population
VALUE,Population change due to selected flow (% of the previous population)
